iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,t_opt,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
25,2.2092583179473877,-3350.4565360072543,7.930883334055606,-3334.262475207059,-3369.129707187379,3.28021502494812,0.0061164983,0.009702314,-3636.079682181927,12000,0.9304213523864746,2.523297076381753e-05,1.2709338705712963e-05
26,2.229153633117676,-3345.6553772745397,7.672346667558579,-3333.0098505977066,-3363.894845920738,3.274273633956909,0.0098085925,0.013349155,-3607.0372516911884,12000,0.9283745288848877,1.206300328442956e-05,1.0527796112201144e-05
27,2.238184928894043,-3339.7303798784856,6.450834464863278,-3323.4575624169943,-3352.3323394946055,3.293844223022461,0.006968122,0.009862367,-3580.3065645099186,12000,0.9184403419494629,1.0735763898459113e-05,8.305472002029778e-06
28,2.14353346824646,-3336.98256866111,5.732901520252549,-3322.2056973687004,-3353.441357686642,3.2362780570983887,0.008681182,0.006681642,-3555.9741649250377,12000,0.8844590187072754,8.504038712811936e-06,9.640690077833238e-06
29,2.2749857902526855,-3336.114649624847,4.862190542566215,-3322.2565966542898,-3347.5276828146875,3.3020341396331787,0.004777028,0.0074948976,-3533.9882133950186,12000,0.898655891418457,8.633506782846411e-06,7.605171330497699e-06
30,2.239431142807007,-3332.2177229884896,5.647348529840685,-3320.3447201243885,-3349.8785083764037,3.292267084121704,0.008290023,0.005475816,-3513.8111643543657,12000,0.924842357635498,1.2551440242134796e-05,7.038790393785674e-06
31,2.1481080055236816,-3330.2933761515596,4.342182253287578,-3321.7517284718665,-3343.7889577203755,3.268632411956787,0.0074473773,0.008899501,-3495.4593855340854,12000,0.9688272476196289,5.94155536284889e-06,5.763560882612786e-06
32,2.2341742515563965,-3328.447931227464,5.2118968444271365,-3318.4770595644413,-3343.97944524214,3.4199578762054443,0.0035018644,0.004712379,-3478.7582401034233,12000,0.9933233261108398,6.0729031832246316e-06,5.509611806542426e-06
33,2.2085702419281006,-3326.77212672442,4.010242384466757,-3318.3597335218856,-3337.0028926338955,3.292372941970825,0.0049669556,0.0051839612,-3463.5596287655235,12000,1.010986328125,4.879579523631382e-06,4.6888601602947535e-06
34,2.1974575519561768,-3325.6030745068592,4.869569573749832,-3316.3029921892758,-3340.7011872667154,3.3421216011047363,0.0073346323,0.0015921165,-3449.7639733396572,12000,1.016092300415039,4.909236755431201e-06,4.747862156691312e-06
35,2.217042922973633,-3324.889643639346,4.155950767821012,-3312.532686565383,-3332.9171780898305,3.238629102706909,0.0066790986,0.004000099,-3437.2765403696267,12000,1.0088744163513184,4.42975740067048e-06,4.336955432826343e-06
36,2.1539368629455566,-3323.89938507344,4.0746741119068055,-3314.1269127008327,-3334.2999179581293,3.276473045349121,0.0024578448,0.0014986305,-3425.9388248400082,12000,0.9258887767791748,4.6534248605611044e-06,5.64677588290591e-06
37,2.2062408924102783,-3323.290086837333,3.564936924749486,-3314.581204844258,-3332.7469070253874,3.282172679901123,0.0039056533,0.0025787288,-3415.6739510397406,12000,0.9611759185791016,4.908494034285868e-06,3.7414581296688152e-06
38,2.19590425491333,-3323.0593391150096,3.9484956169656096,-3314.8522175994076,-3332.774878916801,3.3011114597320557,0.0031653303,0.0018083446,-3406.412489847268,12000,0.999737024307251,3.793738270696371e-06,4.5612022703499724e-06
39,2.2043750286102295,-3322.745544328369,3.6771978513959915,-3315.160853806843,-3331.1087149265136,3.2717835903167725,0.001715827,0.0010766276,-3398.045795295378,12000,0.9946227073669434,4.981792771548811e-06,3.961727301404711e-06
40,2.1701178550720215,-3322.8119047979258,3.422368053611205,-3313.897733393277,-3329.6795051167555,3.2740700244903564,0.0031336888,0.0015642046,-3390.5224062456327,12000,1.0276212692260742,3.4224088899271877e-06,3.6254510153226943e-06
41,2.222252368927002,-3321.880903086114,4.080310733817933,-3312.1188582565464,-3331.5906832750084,3.31807279586792,0.008525056,0.00394669,-3383.658255929681,12000,1.012943983078003,3.8220133659552e-06,5.695673302352022e-06
42,2.188276529312134,-3321.938810355301,4.074676111288742,-3313.896145107613,-3331.4866751097293,3.273338556289673,0.00497785,0.0025164064,-3377.486311372243,12000,1.0847828388214111,5.8106250073150925e-06,4.969598788743242e-06
43,2.191157817840576,-3322.7150919809824,3.7126825124777034,-3313.159522378552,-3333.9874507275713,3.2369468212127686,0.00626732,0.0011325264,-3372.009189433117,12000,1.0219941139221191,4.242470773005777e-06,3.3404313830360004e-06
44,2.213183879852295,-3323.3055926219663,3.8017448135842393,-3314.7463101973535,-3331.7782506517174,3.2491908073425293,0.0052699298,0.0016386718,-3367.1388297520025,12000,1.0588228702545166,3.5133857525492624e-06,3.6927599325843345e-06
45,2.1976122856140137,-3322.2033616934254,3.5619900814547103,-3315.5076635837645,-3330.8828929697324,3.2877683639526367,0.0072003896,0.0001348942,-3362.645282946145,12000,1.0432286262512207,3.3096963246766536e-06,3.184187198165576e-06
46,2.2113218307495117,-3322.5808292107113,3.9334833557171747,-3313.711514470157,-3333.8378989609114,3.295100450515747,0.002712293,0.00085048773,-3358.6388375726015,12000,1.0866098403930664,3.5694642015298855e-06,3.561599159606491e-06
47,2.2586252689361572,-3321.6830119671745,3.956404905793934,-3313.276721008252,-3330.927768383636,3.2547333240509033,0.0020098712,0.00015797203,-3354.9432550120587,12000,1.1133785247802734,3.6096592577325584e-06,5.518161106314701e-06
48,2.2641661167144775,-3321.771539324279,3.0228557549319524,-3315.200436450673,-3329.835243533515,3.2841086387634277,0.003398964,0.0007045304,-3351.6260834432805,12000,1.163886547088623,4.628156687060652e-06,2.960401066282691e-06
49,2.1996753215789795,-3321.2682521885754,3.8129427267515656,-3311.419972992386,-3332.5263272256234,3.290250062942505,0.0018475977,0.00076363434,-3348.59030031781,12000,1.1024339199066162,3.4949708741081276e-06,3.6046435961855095e-06
50,2.3402559757232666,-3322.0664642722895,3.5868703269551268,-3310.276725319929,-3330.9265649204135,3.268329620361328,0.0053645927,0.0027174526,-3345.937916713258,12000,1.0659234523773193,3.0130624898585426e-06,3.8900813945720305e-06
51,2.3346893787384033,-3321.265265933028,3.7917969229919724,-3313.2249146552567,-3329.84018303784,3.2528772354125977,0.0054629263,0.0017328652,-3343.4706516352353,12000,1.020359754562378,3.827771652202333e-06,3.86938497051283e-06
52,2.182363271713257,-3320.597505412888,3.650776050705992,-3310.926900377745,-3327.078060498046,3.2678208351135254,0.0022600146,0.0017505382,-3341.1833370130007,12000,1.0477519035339355,3.5316649648947005e-06,3.2231164621080063e-06
53,2.6192433834075928,-3321.6307027157945,3.5451432362629705,-3314.7734529010468,-3330.3785704827537,3.3059182167053223,0.0045670597,0.0011977121,-3339.22807358328,12000,0.9476475715637207,3.525140347935035e-06,4.464682006002424e-06
54,2.2176625728607178,-3321.545843810033,3.2028989164705113,-3313.71444756824,-3328.8010997289016,3.280712366104126,0.0015986846,0.0013052237,-3337.4598506059556,12000,0.8817684650421143,3.914623896761381e-06,2.638483109420436e-06
55,2.457638740539551,-3321.1181165665016,3.857721103623668,-3313.270345978958,-3330.693720697383,3.275902271270752,0.009565629,0.00029391542,-3335.8256772020104,12000,0.8822305202484131,2.96066702382235e-06,3.4761853467123135e-06
56,2.598057746887207,-3321.171226271129,3.8732829358376213,-3313.316410436826,-3330.980474055726,3.319406032562256,0.0040980675,0.003679895,-3334.3602321089224,12000,0.8444063663482666,3.4946913189161536e-06,3.469844945096332e-06
57,2.333284616470337,-3319.982796565216,3.78062598891397,-3310.4171894117226,-3327.9585151152673,3.2587621212005615,0.0053001037,0.00094108784,-3332.922488554552,12000,0.8270153999328613,3.4106513001183226e-06,3.3908106445602313e-06
